text,label
GÉSTION DES ÉQUIPEMENTS POUR AUTRES Activités ÉCONOMIQUES,O
RÉGLEMENTATION DES TRANSPORTS TERRESTRES,O
RÉGLEMENTATION DES COMMUNICATIONS ÉLECTRONIQUES,O
ADMINISTRATION DE L'HÔTELLERIE ET DU TOURISME,O
RÉGLEMENTATION DU COMMERCE DE GROS ET DE DÉTAIL,O
ADMINISTRATION DES POLITIQUES DE RECHERCHE ET DÉVELOPPEMENT,O
GÉSTION DES FONDS DE RECHERCHE ET DÉVELOPPEMENT,O
ADMINISTRATION DES AFFAIRES GÉNÉRALES CONCERNANT L'EMPLOI,O
MISE EN ŒUVRE DE MESURES POUR RÉDUIRE LE CHÔMAGE,O
ADMINISTRATION DE LA POLITIQUE DE DÉVELOPPEMENT RÉGIONAL,O
RÉGLEMENTATION DES ACTIVITÉS ÉCONOMIQUES DANS D'AUTRES SECTEURS,O
GÉSTION DE L'UTILISATION DES RESSOURCES POUR D'AUTRES ACTIVITÉS ÉCONOMIQUES,O
ADMINISTRATION DES SUBVENTIONS POUR D'AUTRES DOMAINES ÉCONOMIQUES,O
RÉGLEMENTATION DE L'UTILISATION DES ÉQUIPEMENTS POUR D'AUTRES ACTIVITÉS ÉCONOMIQUES,O
ADMINISTRATION DE LA CONTRIBUTION À L'AMÉLIORATION DE L'EFFICACITÉ ÉCONOMIQUE,O
ADMINISTRATION DU MINISTÈRE DES AFFAIRES ÉTRANGÈRES DANS DES PAYS ÉTRANGERS,O
 GESTION DES MISSIONS DIPLOMATIQUES À L'ÉTRANGER,O
 ADMINISTRATION DES SERVICES D'INFORMATION INTERNATIONAUX,O
 GESTION DES SERVICES CULTURELS DANS DES PAYS ÉTRANGERS,O
 OCTROI D'AIDE HUMANITAIRE À DES PAYS ÉTRANGERS,O
 FOURNITURE D'AIDE MILITAIRE À DES PAYS ÉTRANGERS,O
 GESTION DU COMMERCE EXTÉRIEUR AVEC D'AUTRES PAYS,O
 ADMINISTRATION DES AFFAIRES FINANCIÈRES INTERNATIONALES,O
 GESTION DES AFFAIRES TECHNIQUES INTERNATIONALES,O
 COORDINATION AVEC DES ORGANISATIONS INTERNATIONALES,O
 GESTION DES RELATIONS DIPLOMATIQUES AVEC D'AUTRES PAYS,O
 ADMINISTRATION DES ÉCHANGES CULTURELS INTERNATIONAUX,O
 GESTION DE L'AIDE ÉCONOMIQUE À DES PAYS ÉTRANGERS,O
 FOURNITURE DE SERVICES CONSULAIRES À L'ÉTRANGER,O
 GESTION DES VISAS POUR LES VOYAGEURS INTERNATIONAUX,O
 ADMINISTRATION DES ACCORDS COMMERCIAUX INTERNATIONAUX,O
 GESTION DES CONFLITS INTERNATIONAUX,O
 COORDINATION DES POLITIQUES ÉTRANGÈRES AVEC D'AUTRES PAYS,O
 GESTION DES ORGANISATIONS INTERNATIONALES D'AIDE À DES PAYS ÉTRANGERS,O
ADMINISTRATION DE LA DÉFENSE NATIONALE,O
SUPERVISION DES FORCES ARMÉES TERRESTRES,O
DIRECTION DES UNITÉS DE COMBAT TERRESTRES,O
GÉRIE DES TRANSMISSIONS MILITAIRES,O
SOUTIEN AU RENSEIGNEMENT MILITAIRE,O
FABRICATION D'ÉQUIPEMENTS MILITAIRES EN MÉTAL,O
Fourniture D'ÉQUIPEMENTS MILITAIRES AUX FORCES ARMÉES,O
GESTION DES FORCES DE RÉSERVE DE LA DÉFENSE,O
ADMINISTRATION DES FORCES AUXILIAIRES DE LA DÉFENSE,O
ORGANISATION DE SOINS MÉDICAUX POUR LE PERSONNEL MILITAIRE,O
LOGISTIQUE MILITAIRE POUR LES FORCES TERRESTRES,O
SOUTIEN À L'ÉLABORATION DE PLANS D'URGENCE POUR LA DÉFENSE CIVILE,O
CONDUITE D'EXERCICES D'URGENCE AVEC LES INSTITUTIONS CIVILES,O
RECHERCHE ET DÉVELOPPEMENT DE TECHNOLOGIES DE DÉFENSE,O
ADMINISTRATION DES FONDS DE RECHERCHE POUR LA DÉFENSE,O
GESTION DES FORCES DE DÉFENSE CIVILE,O
SOUTIEN AUX POPULATIONS CIVILES EN CAS D'URGENCE,O
PROTECTION DE L'ÉQUIPEMENT MILITAIRE CONTRE D'AUTRES MENACES,O
FABRICATION D'ÉQUIPEMENTS DE COMMUNICATION POUR LA DÉFENSE EN UTILISANT D'AUTRES MATÉRIAUX AVANCÉS,O
ADMINISTRATION DES TRIBUNAUX ADMINISTRATIFS,O
 GESTION DES TRIBUNAUX CIVILS,O
 RENDU DE JUGEMENTS DANS LES TRIBUNAUX CORRECTIONNELS,O
 INTERPRETATION DE LA LOI DANS LES TRIBUNAUX,O
 ACTIVITES DES PROCUREURS GENERAUX DANS LES AFFAIRES CIVILES,O
 ARBITRAGE DES ACTIONS CIVILES EN TRIBUNAL,O
 ADMINISTRATION DES TRIBUNAUX MILITAIRES,O
 GESTION DU SYSTEME JUDICIAIRE,O
 RENDU DE JUGEMENTS DANS LES TRIBUNAUX D'ASSISES,O
 ACTIVITES DES JUGES DANS LES TRIBUNAUX ADMINISTRATIFS,O
 ADMINISTRATION DES ETABLISSEMENTS PENITENTIAIRES,O
 FOURNITURE DE SERVICES DANS LES PRISONS,O
 PREPARATION A LA REINSERTION DES DÉTENUS,O
 ACTIVITES D'AUTRES ORGANISMES JUDICIAIRES,O
 GESTION DES TRIBUNAUX CORRECTIONNELS POUR AUTRES INFRACTIONS,O
 ADMINISTRATION DE LA JUSTICE POUR AUTRES CAS,O
 RENDU DE JUGEMENTS DANS AUTRES TRIBUNAUX SPECIALISES,O
 ACTIVITES DES TRIBUNAUX DANS D'AUTRES DOMAINES DU DROIT,O
 INTERPRETATION DE LA LOI POUR AUTRES SITUATIONS JURIDIQUES,O
ADMINISTRATION DES FORCES DE POLICE NATIONALES,O
GESTION DES FORCES DE GENDARMERIE NATIONALES,O
ADMINISTRATION DES FORCES AUXILIAIRES FINANCÉES PAR LES POUVOIRS PUBLICS,O
SURVEILLANCE DE LA CIRCULATION ROUTIÈRE PAR LA POLICE SPÉCIALISÉE,O
ENREGISTREMENT DES ÉTRANGERS PAR LA POLICE DES FRONTIÈRES,O
TENUE DES FICHIERS DES PERSONNES ARRÊTÉES PAR LA POLICE JUDICIAIRE,O
PROTECTION DES PORTS PAR LA POLICE DES PORTS,O
SECURITÉ DES FRONTIÈRES PAR LA POLICE DES FRONTIÈRES,O
FURNITURE D'APPROVISIONNEMENTS D'URGENCE AUX POPULATIONS EN CAS DE CATASTROPHE,O
SAUVETAGE DES VICTIMES DE CATASTROPHE PAR LES GARDE-CÔTES,O
SECURITÉ CIVILE EN CAS DE CATASTROPHE NATURELLE,O
ADMINISTRATION DE LA POLICE JUDICIAIRE,O
SURVEILLANCE DE LA CIRCULATION AÉRIENNE PAR LES FORCES DE POLICE SPÉCIALISÉES,O
PROTECTION DES ÉTRANGERS EN CAS DE CATASTROPHE,O
ENREGISTREMENT DES PERSONNES DISPARUES PAR LA POLICE NATIONALE,O
TENUE DES FICHIERS DES OBJETS TROUVÉS PAR LA POLICE,O
SECURITÉ DES ÉVÉNEMENTS PUBLICS PAR LA POLICE SPÉCIALISÉE,O
ADMINISTRATION DES FORCES DE POLICE SPÉCIALISÉES DANS LA SURVEILLANCE DE LA CIRCULATION ROUTIÈRE,O
FURNITURE D'AIDE AUX POPULATIONS SINISTRÉES PAR LES FORCES DE SECURITÉ CIVILE,O
SURVEILLANCE DES ZONES À RISQUE PAR LES FORCES DE POLICE SPÉCIALISÉES,O
ADMINISTRATION DES CORPS DE SAPEURS-POMPIERS POUR LUTTER CONTRE LES INCENDIES,O
GESTION DES EQUIPES DE SAUVETAGE EN CAS DE CATASTROPHES CIVILES,O
LUTTE CONTRE LES INCENDIES DANS LES ZONES URBAINES,O
SAUVETAGE DE PERSONNES ET D'ANIMAUX EN CAS D'INCENDIE,O
ASSISTANCE EN CAS D'INONDATIONS ET D'ACCIDENTS DE LA ROUTE,O
LUTTE CONTRE LES INCENDIES PAR DES UNITÉS AGISSANT POUR LE COMPTE DE TIERS,O
ACTIVITÉS DES SURVEILLANTS DE PLAGE POUR ASSURER LA SÉCURITÉ DES BAIGNEURS,O
SAUVETAGE EN EAU LIBRE POUR LES PERSONNES EN DANGER,O
SAUVETAGE EN MONTAGNE POUR LES PERSONNES PERDUES OU BLESSES,O
PRÉVENTION DES INCENDIES DANS LES FORETS ET ZONES RURALES,O
FORMATION DES EQUIPES DE SAPEURS-POMPIERS POUR LES INTERVENTIONS D'URGENCE,O
ORGANISATION DES OPÉRATIONS DE SECOURS EN CAS DE CATASTROPHES NATURELLES,O
ÉQUIPEMENT DES SAPEURS-POMPIERS AVEC DU MATÉRIEL DE SECOURS,O
ACTIVITÉS DES SAUVETEURS EN MER POUR ASSISTER LES NAVIRES EN DANGER,O
LUTTE CONTRE LES INCENDIES DANS LES USINES ET ENTREPRISES INDUSTRIELLES,O
SECOURS AUX PERSONNES BLOQUÉES DANS LES ASCENSEURS OU LES BATIMENTS,O
SAUVETAGE DES ANIMAUX DOMESTIQUES EN CAS D'INCENDIE OU D'INONDATION,O
INTÉVENTION DES ÉQUIPES DE SAUVETAGE EN CAS D'ACCIDENTS AÉRIENS,O
ASSISTANCE AUX VICTIMES D'INCENDIE OU DE CATASTROPHES DANS LES ZONES AFFECTÉES,O
RECHERCHE ET SAUVETAGE DE PERSONNES DISPARUES DANS LES ZONES SINISTRÉES,O
GESTION DE LA COUVERTURE DES RISQUES MALADIE,O
GESTION DE LA COUVERTURE DE LA MATERNITE,O
GESTION DE LA COUVERTURE DES ACCIDENTS DE TRAVAIL,O
GESTION DE LA COUVERTURE DE LA MALADIE PROFESSIONNELLE,O
GESTION DE LA COUVERTURE DE L'INVALIDITE TEMPORAIRE,O
GESTION DE LA COUVERTURE DE L'INVALIDITE PERMANENTE,O
GESTION DE LA COUVERTURE DU DECES,O
GESTION DE LA COUVERTURE DE LA VIEILLESSE,O
GESTION DE LA COUVERTURE DE LA SURVIE,O
COLLECTE DES COTISATIONS POUR LA COUVERTURE DES RISQUES MALADIE,O
VERSEMENT DES PRESTATIONS POUR LA COUVERTURE DE LA MATERNITE,O
ADMINISTRATION GENERALE DE LA SECURITE SOCIALE,O
ACTIVITES D'ADMINISTRATION DE LA CAISSE NATIONALE URSSAF,O
GESTION DES PRESTATIONS DE RETRAITE DE BASE DE LA SECURITE SOCIALE,O
GESTION DES PENSIONS DE REVERSION POUR LES PERSONNES AGEEES,O
AUTRES ACTIVITES DE GESTION DES RISQUES MALADIE,O
ACTIVITES D'ADMINISTRATION DE LA SECURITE SOCIALE POUR AUTRES PERSONNES,O
GESTION DE LA COUVERTURE DES RISQUES POUR AUTRES CAS DE DECES,O
ADMINISTRATION GENERALE DE LA SECURITE SOCIALE POUR AUTRES PRESTATIONS,O
GESTION DES AUTRES PRESTATIONS DE SECURITE SOCIALE,O
GESTION DE RETRAITES COMPLEMENTAIRES POUR SALARIES ,O
GESTION DE RETRAITES COMPLEMENTAIRES POUR NON SALARIES ,O
ADMINISTRATION DE CAISSES DE RETRAITE COMPLEMENTAIRE ,O
GESTION DE PRESTATIONS DE RETRAITE COMPLEMENTAIRE ,O
CALCUL DES DROITS A RETRAITE COMPLEMENTAIRE ,O
REGLEMENTATION DES RETRAITES COMPLEMENTAIRES ,O
GESTION DES cotisations DE RETRAITE COMPLEMENTAIRE ,O
INFORMATION DES ADHERENTS SUR LES RETRAITES COMPLEMENTAIRES ,O
GESTION DES REGIMES DE RETRAITE COMPLEMENTAIRE ,O
GESTION DES DOSSIER DE RETRAITE COMPLEMENTAIRE ,O
CONTROLE DES DROITS A RETRAITE COMPLEMENTAIRE ,O
GESTION DES PRETENTIONS DE RETRAITE COMPLEMENTAIRE ,O
GESTION DES AUTRES REGIMES DE RETRAITE COMPLEMENTAIRE ,O
GESTION DE LA RETRAITE COMPLEMENTAIRE POUR AUTRES PROFILS ,O
GESTION DE LA RETRAITE COMPLEMENTAIRE POUR PERSONNELS ,O
GESTION DE LA RETRAITE COMPLEMENTAIRE POUR AUTRES STATUTS ,O
GESTION DES FONDS DE RETRAITE COMPLEMENTAIRE ,O
GESTION DES ACTIFS DE RETRAITE COMPLEMENTAIRE ,O
GESTION DES PASSIFS DE RETRAITE COMPLEMENTAIRE,O
GESTION DE L'INDEMNISATION DU CHÔMAGE TOTAL ,O
GESTION DE L'INDEMNISATION DU CHÔMAGE PARTIEL ,O
GESTION DES PRÉRETRAITES POUR PERSONNES ÂGÉES ,O
GESTION DES ALLOCATIONS FAMILIALES POUR ENFANTS ,O
GESTION DES ALLOCATIONS FAMILIALES POUR AUTRES MEMBRES DE LA FAMILLE ,O
GESTION DU VERSEMENT DE REVENUS DE SUBSTITUTION POUR CHÔMEURS ,O
GESTION DU VERSEMENT DE REVENUS DE SUBSTITUTION POUR PERSONNES HANDICAPÉES ,O
GESTION DU VERSEMENT DE REVENUS DE SUBSTITUTION POUR AUTRES PERSONNES DANS LE BESOIN ,O
GESTION DE L'INDEMNISATION DU CHÔMAGE POUR SALARIÉS ,O
GESTION DES ALLOCATIONS FAMILIALES POUR ÉTUDIANTS ,O
GESTION DES PRÉRETRAITES POUR PERSONNES HANDICAPÉES ,O
GESTION DU VERSEMENT DE REVENUS DE SUBSTITUTION POUR PERSONNES ÂGÉES ,O
GESTION DES ALLOCATIONS FAMILIALES POUR FAMILLES MONOPARENTALES ,O
GESTION DE L'INDEMNISATION DU CHÔMAGE POUR TRAVAILLEURS INDÉPENDANTS ,O
GESTION DES PRÉRETRAITES POUR AUTRES PERSONNES ÂGÉES ,O
GESTION DU VERSEMENT DE REVENUS DE SUBSTITUTION POUR PERSONNES MALADES ,O
GESTION DES ALLOCATIONS FAMILIALES POUR ENFANTS HANDICAPÉS ,O
GESTION DE L'INDEMNISATION DU CHÔMAGE POUR AUTRES PERSONNES DANS LE BESOIN ,O
GESTION DU VERSEMENT DE REVENUS DE SUBSTITUTION POUR FAMILLES DANS LE BESOIN,O
EXTRACTION DE HOUILLE SOUTERRAINE ,B
EXTRACTION DE HOUILLE À CIEL OUVERT ,B
EXTRACTION DE HOUILLE PAR LIQUÉFACTION ,B
EXTRACTION DE HOUILLE EN PROFONDEUR ,B
EXTRACTION DE HOUILLE À L'AIDE DE MACHINES ,B
EXTRACTION DE HOUILLE POUR PRODUCTION D'ÉLECTRICITÉ ,B
EXTRACTION DE HOUILLE DESTINÉE À LA PRODUCTION DE CHALEUR ,B
EXTRACTION D'AUTRE TYPE DE HOUILLE ,B
EXTRACTION DE HOUILLE EN VUE DE SA VENTE À D'AUTRES ENTREPRISES ,B
EXTRACTION DE HOUILLE POUR ALIMENTER DES CENTRALES ÉLECTRIQUES ,B
EXTRACTION DE HOUILLE POUR RÉPONDER À LA DEMANDE ÉNERGÉTIQUE ,B
EXTRACTION DE HOUILLE À DES FINS INDUSTRIELLES AUTRES ,B
EXTRACTION DE HOUILLE POUR FABRIQUER DU CHARBON ACTIF ,B
EXTRACTION D'AUTRES TYPES DE COMBUSTIBLES À PARTIR DE HOUILLE,B
EXTRACTION DE LIGNE SOUTERRAINE,B
EXTRACTION DE LIGNE À CIEL OUVERT,B
EXTRACTION DE LIGNE PAR LIQUÉFACTION,B
LAVAGE DE LIGNE POUR AMÉLIORER LA QUALITÉ,B
DÉSHYDRATATION DE LIGNE DESTINÉE AU TRANSPORT,B
PULVÉRISATION DE LIGNE POUR LA STOCKAGE,B
COMPRESSION DE LIGNE POUR FACILITER LE STOCKAGE,B
EXTRACTION DE LIGNE DESTINÉE À LA PRODUCTION D ÉLECTRICITÉ,B
EXTRACTION DE LIGNE POUR LA PRODUCTION DE CHALEUR,B
EXTRACTION DE LIGNE POUR LA FABRICATION D AUTRES PRODUITS,B
EXTRACTION DE LIGNE À DES FIN D UTILISATION ÉNERGÉTIQUE,B
EXTRACTION DE LIGNE EN UTILISANT DES PROCÉDÉS DE LIQUÉFACTION,B
EXTRACTION DE LIGNE DESTINÉE À LA VENTE À D AUTRES ENTREPRISES,B
EXTRACTION DE LIGNE POUR SATISFAIRE LES BESOINS ÉNERGÉTIQUES DE LA POPULATION,B
EXTRACTION DE PÉTROLE BRUT À DES FINS DE RAFFINAGE,B
 EXTRACTION D'HUILES BRUTES DE PÉTROLE POUR LA PRODUCTION DE CARBURANT,B
 EXTRACTION DE PÉTROLE BRUT DESTINÉ À LA PRODUCTION DE PRODUITS CHIMIQUES,B
 EXTRACTION D'HUILES BRUTES DE PÉTROLE POUR LA CRÉATION DE DÉRIVÉS PÉTROLIERS,B
 EXTRACTION DE PÉTROLE BRUT À PARTIR DE GISMENTS SOUS-MARINS,B
 EXTRACTION D'HUILES BRUTES DE PÉTROLE À DES FINS DE RECHERCHE ET DÉVELOPPEMENT,B
 EXTRACTION DE PÉTROLE BRUT DESTINÉ À L'EXPORTATION,B
 EXTRACTION D'HUILES BRUTES DE PÉTROLE À PARTIR DE GISMENTS TERRESTRES,B
 EXTRACTION DE PÉTROLE BRUT UTILISANT DES MÉTHODES DE FORAGE CONVENTIONNELLES,B
 EXTRACTION D'HUILES BRUTES DE PÉTROLE POUR LA PRODUCTION D'AUTRES PRODUITS PÉTROLIERS,B
 EXTRACTION DE PÉTROLE BRUT À L'AIDE DE TECHNOLOGIES DE FORAGE AVANCÉES,B
 EXTRACTION D'HUILES BRUTES DE PÉTROLE POUR LA CRÉATION DE PRODUITS PÉTROLIERS DE BASE,B
 EXTRACTION DE PÉTROLE BRUT DESTINÉ À LA PRODUCTION DE PRODUITS PÉTROLIERS DE HAUTE QUALITÉ,B
 EXTRACTION D'HUILES BRUTES DE PÉTROLE À DES FINS DE STOCKAGE ET DE DISTRIBUTION,B
EXTRACTION DE GAZ NATUREL BRUT,B
PRODUCTION D'HIDROCARBURES GAZEUX,B
EXTRACTION DE CONDENSATSÀ PARTIR DE GAZ NATUREL,B
DÉCANTATION DE FRACTIONS D'HIDROCARBURES LIQUIDES À PARTIR DE GAZ NATUREL,B
SÉPARATION DE FRACTIONS D'HIDROCARBURES LIQUIDES DANS L'EXTRACTION DE GAZ NATUREL,B
DÉSULFURATION DU GAZ NATUREL EXTRAIT,B
EXTRACTION DE MÉTHANE PROVENANT DES MINES DE CHARBON,B
EXTRACTION DE GAZ NATUREL À DES FINS INDUSTRIELLES,B
EXTRACTION DE GAZ NATUREL POUR AUTRE USAGE QUE LA CONSOMMATION DOMESTIQUE,B
PRODUCTION DE GAZ NATUREL POUR L'UTILISATION DANS D'AUTRES PROCÉDÉS INDUSTRIELS,B
EXTRACTION DE CONDENSATS D'HIDROCARBURES À PARTIR DE GAZ NATUREL,B
EXTRACTION DE GAZ NATUREL À PARTIR DE GISMENTS SOUTERRAINS,B
EXTRACTION D'AUTRE GAZ À PARTIR DE GAZ NATUREL,B
EXTRACTION DE GAZ NATUREL DESTINÉ À L'ÉCLAIRAGE PUBLIC ET À D'AUTRES USAGES,B
EXTRACTION DE MINERAIS DE FER POUR LA PRODUCTION D'ACIER,B
 EXTRACTION DE MINERAIS DE FER DESTINE A LA FABRICATION DE PIÈCES DE MACHINERIE,B
 EXTRACTION DE MINERAIS DE FER CONTENANT DU FER PUR,B
 EXTRACTION D'AUTRES MINERAIS DE FER,B
 EXTRACTION DE MINERAIS DE FER POUR LA PRODUCTION DE FER A CHEVAL,B
 EXTRACTION DE MINERAIS DE FER POUR L'INDUSTRIE DE LA CONSTRUCTION,B
 EXTRACTION DE MINERAIS DE FER DESTINE A LA FABRICATION D'AUTRES PRODUITS,B
 EXTRACTION DE MINERAIS DE FER POUR LA PRODUCTION DE METAUX,B
 EXTRACTION DE MINERAIS DE FER POUR L'INDUSTRIE AUTOMOBILE,B
 EXTRACTION DE MINERAIS DE FER POUR LA FABRICATION DE TÔLES EN FER,B
 EXTRACTION DE MINERAIS DE FER DESTINE A DES USAGES VARIÉS,B
 EXTRACTION DE MINERAIS DE FER POUR LA PRODUCTION D'AUTRES PRODUITS MÉTALLIQUES,B
 EXTRACTION DE MINERAIS DE FER POUR L'EXPORTATION,B
 EXTRACTION DE MINERAIS DE FER DESTINE A LA FABRICATION DE PRODUITS EN FER,B
EXTRACTION DE MINERAIS D'URANIUM À PARTIR DE PECHBLEND,B
 EXTRACTION DE MINERAIS DE THORIUM DESTINÉS À LA PRODUCTION D'ÉNERGIE,B
 EXTRACTION DE PECHBLEND POUR OBTENIR DE L'URANIUM,B
 CONCENTRATION DE MINERAIS D'URANIUM POUR LA FABRICATION DE CONCENTRÉ,B
 FABRICATION DE CONCENTRÉ D'URANIUM À PARTIR DE MINERAIS D'URANIUM,B
 EXTRACTION D'AUTRES MINERAIS RENFERMANT DU THORIUM,B
 EXTRACTION DE MINERAIS D'URANIUM POUR LA PRODUCTION DEYellow CAKE,B
 CONCENTRATION DE MINERAIS DE THORIUM POUR OBTENIR DU THORIUM PUR,B
 EXTRACTION DE MINERAIS D'URANIUM À DES FINS ÉNERGÉTIQUES,B
 CONCENTRATION DE PECHBLEND POUR OBTENIR DE L'URANIUM PUR,B
 FABRICATION DE CONCENTRÉ D'URANIUM DESTINÉ À LA PRODUCTION D'ÉNERGIE,B
 EXTRACTION DE MINERAIS DE THORIUM À PARTIR DE MINERAIS DE THORIUM,B
 EXTRACTION D'AUTRES MINERAIS RENFERMANT DE L'URANIUM,B
 CONCENTRATION DE MINERAIS D'URANIUM POUR LA FABRICATION DE PRODUITS À BASE D'URANIUM,B
EXTRACTION DE BAUXITE POUR PRODUCTION D'ALUMINIUM,B
 EXTRACTION DE CUIVRE POUR PRODUCTION DE FILS ÉLECTRIQUES,B
 EXTRACTION DE PLOMB POUR PRODUCTION DE BATTERIES,B
 EXTRACTION DE ZINC POUR PRODUCTION DE GALVANISATION,B
 EXTRACTION D'ÉTAIN POUR PRODUCTION DE CANETTES,B
 EXTRACTION DE MANGANÈSE POUR PRODUCTION D'ACIERS SPÉCIAUX,B
 EXTRACTION DE CHROME POUR PRODUCTION DE CHROMIUM,B
 EXTRACTION DE NICKEL POUR PRODUCTION D'ALLIAGES,B
 EXTRACTION DE COBALT POUR PRODUCTION DE BATTERIES,B
 EXTRACTION DE MOLYBDÈNE POUR PRODUCTION D'ALLIAGES,B
 EXTRACTION DE TANTALE POUR PRODUCTION DE CONDENSATEURS,B
 EXTRACTION DE VANADIUM POUR PRODUCTION D'ALLIAGES,B
 EXTRACTION D'OR POUR PRODUCTION DE BIJOUX,B
 EXTRACTION D'ARGENT POUR PRODUCTION DE VAISSELLE,B
EXTRACTION DE MARBRE POUR CONSTRUCTION,B
EXTRACTION DE GRANIT POUR CONSTRUCTION,B
EXTRACTION DE GRÈS POUR CONSTRUCTION,B
CONCASSAGE DE PIERRES ORNEMENTALES DESTINÉES À LA CONSTRUCTION,B
BROYAGE DE PIERRES CALCAIRES POUR PRODUCTION DE CHAUX,B
EXTRACTION DE GYPSE POUR FABRICATION DE PLAQUES DE PLÂTRE,B
EXTRACTION D'ANHYDRITE POUR UTILISATION DANS L'INDUSTRIE,B
EXTRACTION DE CRAIE DESTINÉE À LA FABRICATION DE CRAYONS,B
EXTRACTION DE DOLOMITE NON CALCINÉE POUR UTILISATION DANS L'INDUSTRIE,B
PRODUCTION DE GRANULES DE PIERRE POUR SURFACES DE ROUTE,B
PRODUCTION D'ÉCLATS DE PIERRE POUR DÉCORATION,B
